GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
The Carse Medical Practice - Errol (13142),13142,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",59,88.06,9.53,2.41
The Cathcart Street Medical Practice - Ayr (80109),80109,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",54,83.84,11.94,4.21
The Charleston Surgery - Paisley (87466),87466,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",40,80.59,15.45,3.96
The Consulting Rooms - Paisley (87502),87502,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",58,68.76,26.24,5
The Craigallian Avenue Practice - Cambuslang (60177),60177,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",56,76.42,16.5,7.08
The Craigshill Partnership - Livingston (78311),78311,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",70,55.26,29.08,15.67
The Crescent Medical Practice - Glasgow (52058),52058,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",49,74.01,16.72,9.27
The David Elder Medical Practice - Glasgow (52062),52062,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",36,79.33,15.57,5.1
The Ellwyn Practice - Galashiels (16193),16193,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,82.13,16.43,1.44
The Faraday Medical Practice - Coatbridge (61240),61240,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",46,86.64,9.32,4.04
The Firhill Practice - Glasgow (43167),43167,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",55,84.35,13.58,2.07
The Firrhill Medical Centre - Edinburgh (71097),71097,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",38,77.58,20.52,1.9
The Fullarton Medical Practice - Ayr (80113),80113,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",49,85.57,12.96,1.47
The Furnace/Inveraray Surgery - Argyll (84307),84307,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",43,68.23,23.51,8.26
The Glenwood Practice - Glenrothes (20630),20630,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",39,64.35,27.69,7.96
The Gordon Practice - Glasgow (49604),49604,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",37,78.73,10.2,11.07
The Green Medical Practice - Clydebank (40224),40224,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",41,74.86,19.6,5.54
The Green Practice - Edinburgh (70094),70094,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",34,79.68,16.93,3.39
The Green Practice - Glasgow (52096),52096,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",52,75,20.49,4.51
The Greenlaw Practice - Paisley (87541),87541,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",50,90.36,5.92,3.72
The Group Practice - Eyre - Edinburgh (71326),71326,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",36,87.21,9.36,3.43
The Group Practice - Isle Of Lewis (90031),90031,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",38,83.88,12.76,3.35
The Harbours Medical Practice - Cockenzie (76052),76052,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",44,81.64,7.31,11.05
The Health Centre - Port Glasgow (86271),86271,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",56,81.45,14.68,3.87
The Hopetoun Practice - Edinburgh (70521),70521,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",36,85.69,7.73,6.58
The Kelburn Practice - Paisley (87521),87521,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,85.49,12.75,1.76
The Ker Practice - Glasgow (49765),49765,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",54,81.2,14.7,4.1
The Khan Medical Surgery - Glasgow (49411),49411,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",32,90.51,7.74,1.75
The Lennox Practice - Alexandria (85225),85225,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",51,87.98,10.79,1.23
"The Links Practice - Burntisland, Fife (20184)",20184,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",43,84.92,8.8,6.28
The Lomond Practice - Glenrothes (20606),20606,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",54,69.19,14.81,16.01
The Long House Surgery - Edinburgh (70234),70234,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",32,80.4,19.6,0
The Love Street Medical Centre - Paisley (87560),87560,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",44,87.03,8.58,4.39
The Maclean Medical Practice - Clarkston (49638),49638,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",51,87.6,9.91,2.49
The Mirin Practice - Paisley (87555),87555,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",54,87.56,11.26,1.18
The Moffat Surgery - Moffat (18396),18396,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,85.82,14.18,0
The Motherwell Medical Practice - Motherwell (60213),60213,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",51,81.39,10.04,8.57
The Muirside Medical Practice - Glasgow (46305),46305,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,63.72,24.21,12.08
The Murray Surgery - East Kilbride (63301),63301,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",48,82.14,9.61,8.25
The Neidpath Practice - Peebles (16160),16160,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",29,65.63,31.25,3.12
The Oaks Medical Practice - Barrhead (87108),87108,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",53,88.83,7.78,3.38
The Orange Wing Medical Practice - Clydebank (40582),40582,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,66.18,26.32,7.5
The Orchard Medical Practice - Haddington (76103),76103,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",47,91.48,3.71,4.81
The Pearson Practice - Wick (55145),55145,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,83.52,10.64,5.84
The Peat Road Medical Practice - Glasgow (52293),52293,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",61,70.35,21.75,7.9
The Pentlands Medical Practice - Currie (70930),70930,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",38,85.88,10.92,3.2
The Red Practice - Crieff (10835),10835,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",54,86.65,10.8,2.55
The Rhinns Medical Centre - Port Charlotte - Isle of Islay (84350),84350,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",26,83.17,11.62,5.2
The Richmond Practice - Bo'ness (25084),25084,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",37,75.74,18.31,5.95
The Riverbank Practice - Dumbarton (85047),85047,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",50,80.41,9.06,10.53
The Roxburgh Practice - Greenock (86341),86341,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",49,84.28,9.75,5.96
The Southern Medical Group - Edinburgh (70588),70588,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",43,78.04,16.8,5.16
The Stonelaw Practice - Rutherglen (60092),60092,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",48,67.82,25.51,6.67
The Surgery - Ayr (80062),80062,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,88.29,10.41,1.3
The Surgery - Kilmarnock (80414),80414,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",60,67.11,17.86,15.03
The Taymount Surgery - Perth (14037),14037,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,74.7,11.05,14.26
The Terrace Medical Practice - Glasgow (40027),40027,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",24,81.33,18.67,0
The Turret Medical Centre - Kirkintilloch (43044),43044,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",41,83.91,13.02,3.08
The Tweed Practice - Peebles (16211),16211,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",33,75.28,11.34,13.38
The Victoria Practice - Edinburgh (70982),70982,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",34,75.41,20.05,4.54
The Wards Medical Centre - Kilmarnock (80400),80400,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",58,75.86,8.99,15.15
The Whins Medical Practice - Sauchie (25031),25031,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",67,68.2,16.04,15.76
The Whitevale Medical Group - Glasgow (46560),46560,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",50,95.37,4.63,0
The Wood Medical Practice - Broxburn (78306),78306,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",36,63.7,30.32,5.98
Thistle Medical Practice - Airdrie (61659),61659,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",39,57.04,23.52,19.44
Thornhill Medical Practice - Dumfriesshire (18339),18339,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",61,77.25,16.23,6.53
Thurso & Halkirk Medical Practice - Caithness (55003),55003,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",67,82.3,12.92,4.78
Thurston Road Medical Practice - Glasgow (52024),52024,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",74,92.92,7.08,0
Tillicoultry Medical Practice - Tillicoultry (25544),25544,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",57,96.27,0,3.73
Tinto Medical Practice - Airdrie (61131),61131,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",55,60.65,16.94,22.41
Tiree Medical Practice - Isle of Tiree (84805),84805,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",19,,,
Tollcross Medical Centre - Glasgow (46343),46343,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",78,90.03,6.97,3
Tongue Medical Practice - Tongue (55272),55272,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",8,,,
Tor Medical Group - Plean (25991),25991,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",55,86.1,12.12,1.78
Torphins Medical Practice - Torphins (32341),32341,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",59,94.79,3.3,1.91
Torridon Medical Practice - Torridon (55446),55446,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",12,,,
Torry Medical Practice - Aberdeen (30294),30294,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",45,82.09,11.82,6.09
Townhead Practice - Montrose (13621),13621,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",29,86.28,13.72,0
Townhead Surgery - Irvine (80344),80344,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",60,87.92,6.66,5.42
Tranent Medical Practice - Tranent (76226),76226,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",38,75.44,14.4,10.16
Tryst Medical Centre - Stenhousemuir (25648),25648,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",49,69.4,18.99,11.61
Turriff Medical Practice - Turriff (31723),31723,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,71.88,18.87,9.25
Tweeddale Medical Practice - Fort William (55624),55624,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",43,83.27,3.6,13.13
Tyne Medical Practice - Haddington (76000),76000,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",38,91.69,8.31,0
Ullapool Health Centre - Ullapool (55451),55451,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",34,96.4,3.6,0
Unst Health Centre - Shetland (39161),39161,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",14,,,
Upper Nithsdale Group Practice - Sanquhar (18324),18324,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",71,79.58,15.58,4.85
Valley Medical Practice - Ayrshire (80518),80518,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",67,69.7,18.03,12.27
Valleyfield Medical Practice - High Valleyfield (20729),20729,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",73,75.26,19.36,5.38
Varis Medical Practice - Moray (32801),32801,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,65.83,16.47,17.7
Victoria Practice - Perth (13941),13941,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",38,63.07,17.76,19.16
Viewfield Medical Practice - Stirling (25737),25737,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",49,57.38,22.65,19.97
Viewpark Health Centre - Uddingston (63832),63832,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",52,82.86,11.56,5.58
Viewpoint Medical Practice - Stenhousemuir (25390),25390,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",50,72.75,13.5,13.75
Wallace Medical Centre - Falkirk (25262),25262,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",49,68.44,20.27,11.29
Wallsgreen Medical Practice - Cardenden (20254),20254,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",65,86.65,13.35,0
Wardlaw Medical Practice - Rutherglen (60105),60105,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",53,84.73,15.27,0
Waverley Medical Practice - Coatbridge (61447),61447,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",60,79.58,18.51,1.91
Waverley Medical Practice - Galashiels (16259),16259,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",33,81.33,12.7,5.97
Waverley Park Medical Practice - Glasgow (52151),52151,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,92.5,3.65,3.85
Wellhall Medical Centre - Hamilton (63438),63438,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",63,72.24,22.47,5.29
Wellwynd Practice - Airdrie (61625),61625,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",82,57.51,20.95,21.54
West Calder Medical Practice - West Calder (78147),78147,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",59,82.01,13.57,4.43
West End Medical Practice - Edinburgh (70319),70319,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",24,73.51,20.41,6.08
West Linton Medical Practice - West Linton (16174),16174,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",81,93.71,5.45,0.84
"West Practice, Springfield Medical Centre - Arbroath (10322)",10322,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",34,90.87,7.43,1.7
Westburn Medical Group - Aberdeen (30261),30261,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",39,88.93,6.65,4.42
Westburn Medical Practice - Falkirk (25883),25883,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",35,78.77,17.26,3.97
Wester Hailes Medical Practice - Edinburgh (70978),70978,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",59,73.73,14.53,11.74
Westfield Medical Practice - Johnstone (87729),87729,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",51,85.58,9.13,5.29
Westgate Medical Practice - Dundee (11171),11171,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",28,97.65,2.35,0
Westmuir Medical Centre - Glasgow (46339),46339,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",56,75.29,17.88,6.82
Whalsay Health Centre - Shetland (39020),39020,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",27,86.79,13.21,0
Whinhill Medical Practice - Aberdeen (30082),30082,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",45,73.27,25.34,1.4
Whinpark Medical Practice - Edinburgh (70253),70253,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",56,74.56,20.11,5.33
Whitburn Group Medical Practice - Whitburn (78190),78190,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",70,52.47,24.46,23.07
Whiteinch Medical Practice - Glasgow (40417),40417,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",56,85.74,10.16,4.11
Whitesands Medical Practice - Dunbar (76086),76086,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",42,78.43,14.22,7.34
Whitfield Surgery - Dundee (12901),12901,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",57,88.25,6.9,4.85
Williamwood Practice - Glasgow (49784),49784,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",43,71.77,14.15,14.08
Willow Wood Medical Practice - Wishaw (62666),62666,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",39,81.41,7.12,11.47
Woodhead Medical Practice - Kirkintilloch (43581),43581,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",48,82.75,9.42,7.84
Woodside Medical Group - Aberdeen (31141),31141,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",43,83.02,13.28,3.7
Yell Health Centre - Shetland (39015),39015,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",15,,,
"Yellow Practice, Drumhar Health Centre - Perth (14342)",14342,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",32,88.35,11.65,0
"Yellow Practice, Govan Health Centre - Glasgow (52330)",52330,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",45,79.75,10.15,10.1
Yoker Medical Centre - Glasgow (40525),40525,9d,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Pharmacist / Chemist at your GP practice?",55,87.05,10.25,2.7
Abbey Medical Centre - Paisley (87625),87625,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",12,,,
Abercromby Practice - Glasgow (46555),46555,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",21,50.49,15.11,34.4
Aberfeldy And Kinloch Rannoch Medical Practice - Aberfeldy (10036),10036,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",21,54.27,21.21,24.52
Aberfoyle & Buchlyvie Medical Centres - Buchlyvie (25968),25968,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",27,66.58,10.62,22.8
Aberlour Health Centre - Aberlour (33004),33004,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",24,26.26,23.12,50.62
Abingdon Medical Practice - Glasgow (40070),40070,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
Aboyne Health Centre  Incl. Tarland - Aboyne (32290),32290,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",29,66.6,5.97,27.43
Abronhill Medical Group - Cumbernauld (61377),61377,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",18,,,
Academy Medical Centre - Forfar (13231),13231,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",21,29.16,17.11,53.73
Acharacle Medical Practice - Argyll (55662),55662,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",22,62.89,28.42,8.69
Adam Avenue Practice - Airdrie (61061),61061,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",16,,,
Aird Medical Practice - Beauly (55696),55696,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",28,60.6,7.4,31.99
Airlie Medical Practice - Fife (21524),21524,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",25,52.42,26.63,20.95
Albyn Medical Practice - Aberdeen (30909),30909,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",18,,,
Alcluith Practice - Dumbarton (85032),85032,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",21,58.55,34.81,6.63
Alford Medical Practice - Alford (31808),31808,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
Allan Park Medical Practice - Stirling (25686),25686,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",27,53.37,19.5,27.13
Allander Surgery - Glasgow (43294),43294,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,71.47,7.59,20.94
Almond Group Practice - Kirkliston (78359),78359,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",30,53.69,21.22,25.1
Alness/Invergordon Med Prcte - Alness (55338),55338,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",35,52.95,33.05,14
Alva Medical Practice - Alva (25046),25046,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",21,48.12,22.23,29.65
Alyth Health Centre - Alyth (10125),10125,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",10,,,
An Caorann Medical Practice - Portsoy (31456),31456,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",28,41.96,11.55,46.49
Anchor Mill Medical Practice - Paisley (87471),87471,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
ANCRUM MEDICAL CENTRE - Dundee (12210),12210,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",21,54.2,29.53,16.28
ANCRUM ONE - Dundee (11096),11096,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",14,,,
"Annandale Medical Practice - Bellevue Medical Centre, Edinburgh (70499)",70499,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",17,,,
Annat Bank Practice - Montrose (13706),13706,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,85.46,0,14.54
Annfield Medical Centre - Glasgow (46127),46127,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",25,72.43,18.07,9.49
Anniesland Medical Practice - Glasgow (40051),40051,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",19,,,
Anstruther Medical Practice - Fife (20004),20004,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",20,29.51,13.89,56.6
Antonine Medical Practice - Bonnybridge (25192),25192,9e,The GP Practice,"Overall, how would you rate the arrangements for getting to speak to a Physiotherapist at your GP practice?",23,66.21,10.65,23.14
