gp_practice,gp_number,DataZone,PracticeListSize,q1_positive,q2_positive,q3_positive,income_rank,employment_rank,health_rank,housing_rank,education_rank,access_rank,employment_rate,CIF,working_age_percentage,urban_location,minority_pop,age_distribution,gender_distribution,employment_percentage
Keppoch Medical Practice - Glasgow (43237),43237,S01010311,4092,70.79,93.31,84.12,183,349,150,369,117,6379,0.24,245,70.44,1,10.96,71.55,49.24,69.8
Kersland House Surgery - Milngavie (40385),40385,S01008046,7633,63.98,90.44,84.93,1947,1009,1633,3337,4227,5502,0.17,135,55.72,1,3.42,61.09,50.64,75.9
Kessington Medical Centre - Glasgow (40101),40101,S01008077,7445,69.31,88.9,94.27,6729,6194,6106,6873,6807,6093,0.02,50,51.63,1,8.54,57.06,51.22,75.9
Kilbirnie Medical Practice - Kilbirnie (80363),80363,S01011347,7601,71.97,96.49,90.51,1492,1325,1651,2607,2990,5516,0.16,130,63.97,1,1.73,65.29,49.73,67.7
Kilbryde Medical Practice - East Kilbride (63283),63283,S01012928,4160,51.85,65.59,75.92,4917,5297,4686,4546,4798,3153,0.04,60,61.49,1,3.58,67.84,48.89,76.9
Kilcreggan Medical Practice - Argyll (85193),85193,S01007373,2444,89.64,96.18,90.72,4709,4340,3905,3856,5578,1802,0.06,85,54.35,0,1.16,58.43,50.7,75.8
Kildrum Medical Practice - Cumbernauld (61305),61305,S01011754,5657,77.99,90.23,91.55,2971.5,2474,2340,4689.5,2707,4170,0.11,135,57.37,1,2.36,67.92,50.24,69.7
Killearn Health Centre - Killearn (25347),25347,S01013004,4606,91.81,89.44,97.96,4633,5311,4017,6760,6309,2076,0.04,70,60.82,0,1.33,61.03,50.87,74.8
Killin Medical Practice - Killin (25351),25351,S01013120,1525,77.8,81.3,89.77,4208,4755,5322,4813,4587,348,0.05,65,63.59,0,4.74,64.07,48.72,74.8
Kilsyth Medical Partnership - Kilsyth (61502),61502,S01011797,14120,28.53,69.05,73.34,5622.5,5128,5275,5810,5085,3653,0.04,55,67.99,1,1.66,64.92,50.72,69.7
Kilwinning Medical Practice - Ayrshire (80753),80753,S01011294,12262,56.2,84.42,84.38,517,280,366,2399,2427,6342,0.25,185,56.81,1,1.27,62.84,50.07,67.7
Kincorth Medical Practice - Kincorth (30401),30401,S01006607,13648,69.71,78.49,88.99,3288,3120,3424,1663,1564,5821,0.09,85,67.03,1,6,67.42,50.93,71.8
King Street Surgery - Paisley (87490),87490,S01012070,9576,69.04,93.11,91.15,316,213,248,515,1168,6144,0.26,200,70.15,1,11.97,69.12,49.37,77.1
Kinghorn Medical Practice - Fife (20907),20907,S01009469,3382,66.64,92.14,87.38,4542,3936,5016,5121,5433,3678,0.06,60,61.21,0,3.33,60.41,51.57,70.4
Kinglass Medical Practice - Bo'ness (25099),25099,S01009259,3609,77.39,83.96,91.08,5118,4699,4787,6521,4586,4907,0.05,65,59.14,1,2.55,64.03,50.57,75.2
Kings Practice - Perth (13848),13848,S01011893,6558,79.57,84.47,87.66,3253,2407,3216,2998,4086,5998,0.11,105,69.1,1,6.24,64.35,50.29,75.3
Kingsgate Medical Practice - Bathgate (78128),78128,S01013414,8328,58.86,80.74,81.89,2535,2547,1620,2588,2190,4977,0.11,125,56.25,1,10.48,67,49.45,74.5
Kingshill Medical Practice - Forth (62346),62346,S01012590,2925,53.76,78.89,66.27,1345,1545,1629,3230,1111,5921,0.15,155,61.94,0,1.03,62.46,50.26,76.9
Kingsinch Medical Practice - Renfrew (87714),87714,S01012183,6803,71.66,94.35,94.19,2367,2507.5,1591,1415,2066,5487,0.11,130,68.99,1,6.67,65.6,49.8,77.1
Kingsmills Medical Practice - Inverness (55817),55817,S01010628,9605,83.23,85.01,90.89,4893,5460.5,4837,2508,3955,6606,0.04,55,71.46,1,13.75,62.19,51.44,78.6
Kingspark Surgery - Glasgow (49770),49770,S01010001,4992,76.08,79.91,93.05,2478,3489,3218,3660,2968,5867,0.08,115,61.27,1,11.53,67.01,51.74,69.8
Kingsway Medical Practice - Glasgow (40737),40737,S01010427,6546,75.39,82.86,88.62,646,660,1285,216,1959,6787,0.2,165,63.74,1,31.91,67.58,49.19,69.8
Kingswells Medical Practice - Aberdeen (31009),31009,S01006734,6905,91.24,97.01,92.82,6118,6091,5799,6824,6598,4225,0.03,40,65.16,1,18.34,66.89,50.69,71.8
Kingussie Medical Practice - Kingussie (55930),55930,S01010533,2988,86.76,84.28,91.29,3902.5,4114.5,4997,4502,4855,6182,0.06,65,59.51,0,7.95,58.4,50.7,78.6
Kinlochleven Medical Practice - Kinlochleven (55639),55639,S01010527,922,76.58,92.52,85.63,1974,1774,2540,2745,3897,3814,0.13,130,59.48,0,4.69,62.04,50.33,78.6
Kinmylies Medical Practice - Inverness (55860),55860,S01010654,3809,78.97,94.46,94.1,2990,2707,2706,3412,1413,3294,0.1,120,64.51,1,6.42,65.4,50.83,78.6
Kintyre Medical Group - Tarbert (84810),84810,S01007329,1168,78.76,93.56,88.24,3924.5,4393.5,5041,2850,3717,195,0.05,75,58.64,0,3.28,57.62,48.89,75.8
Kippen Surgery - Kippen (25366),25366,S01013017,2242,88.52,94.38,95.98,4124,3506,5035,4065,5157,2139,0.08,85,61.25,0,1.65,58.74,50.36,74.8
Kirkhall Surgery - Ayrshire (80541),80541,S01012524,6904,88.65,95,94.15,3706,3639,3677,4710,4827,6925,0.07,85,56.09,1,1.95,59.56,51.09,71.9
Kirkview Medical Practice - East Kilbride (63245),63245,S01012928,7424,43.16,71.47,79.52,4917,5297,4686,4546,4798,3153,0.04,60,61.49,1,3.58,67.04,50.92,76.9
Kirriemuir Medical Practice - Angus (13532),13532,S01007273,8776,84.63,89.1,86.06,3426,3117,4366,3694,4063,5349,0.09,70,58.03,1,2.39,61.34,50.91,72.2
Kittoch Medical Practice - East Kilbride (63250),63250,S01012928,7690,64.55,83.48,88.66,4917,5297,4686,4546,4798,3153,0.04,60,61.49,1,3.58,66.25,51.48,76.9
Knightswood Medical Practice - Glasgow (40332),40332,S01010470,5413,85.61,94.56,92.6,1865,1895,870,2032,1796,6465,0.13,160,62.12,1,3.96,68.22,50.03,69.8
Knowetop Medical Practice - Motherwell (62736),62736,S01011474,4347,84.15,96.67,95.1,851,564,332,3084,1501,6702,0.21,190,58.7,1,3.76,63.12,49.94,69.7
Kyle Medical Practice - Kyle Of Lochalsh (55569),55569,S01010672,2759,82.76,92.01,89.71,2063,2290,2534,2956,2470,5828,0.11,100,64.41,0,2,65.06,48.97,78.6
Ladywell Medical Centre (East) - Edinburgh (70361),70361,S01008975,10907,71.03,91.4,89.83,3038,3400,2325,2402,2499,6313,0.08,120,55.35,1,5.91,64.66,50.47,73.9
Ladywell Medical Centre (West) - Edinburgh (70220),70220,S01008975,10868,64.93,77.83,85.34,3038,3400,2325,2402,2499,6313,0.08,120,55.35,1,5.91,63.25,51.01,73.9
Lairg Health Centre - Lairg (55249),55249,S01010765,1171,90.16,100,94.81,2777,3245,5137,4000,3799,775,0.08,80,54.32,0,1.88,55.94,50.47,78.6
Lammermuir Medical Practice - Haddington (76071),76071,S01008256,5304,88.53,96.42,95.01,1378,1343,2242,1616,2056,3820,0.15,110,65.52,1,6.8,60.97,50.45,75.3
Lanarkshire Medical Group - Strathaven (63724),63724,S01012688,18462,23.09,77.06,60.94,2963,2915,2470,3740,4916,6441,0.09,110,65.17,1,4.05,67.01,50.15,76.9
Langabhat Medical Practice - Isle of Lewis (90204),90204,S01009026,5263,70.92,84.62,89.19,3525,4170.5,4577,5983,4458,188,0.06,75,59.08,0,1.91,58.56,47.81,81
Langholm Medical Partnership - Langholm (18447),18447,S01007647,2834,87.73,91.31,97.46,3981.5,3720,6248,4470,5804,6348,0.07,65,55.11,0,1.95,58.36,50.11,68.3
Lanrigg Medical Practice - Fauldhouse (78109),78109,S01013248,2975,47.11,84.56,71.32,722,430,564,1345,740,6739,0.23,195,64.86,1,1.91,65.75,49.14,74.5
Largs Medical Group - Largs (80857),80857,S01011329,13356,60.93,84.94,86.1,2964,3050,3980,4881,4625,6462,0.09,85,52.09,1,3.06,55.94,51.25,67.7
Lauderdale Medical Practice - Dunbar (76161),76161,S01008291,4237,89.67,93.89,94.95,5614,4823,4763,5994,5169,5032,0.05,50,50.96,0,1.53,60.99,49.89,75.3
Laurencekirk Medical Group - Laurencekirk (32529),32529,S01006801,6027,60.29,81.26,89.27,5116,6178.5,5465,6198,6147,1338,0.02,50,54.39,0,2.2,62.44,49.74,79.5
Leith Mount Surgery - Edinburgh (71114),71114,S01008774,11460,79.74,93.38,95.31,2068,1697,1313,378,1447,6369,0.14,155,76.27,1,22.75,78.61,48.22,73.9
Leith Surgery - Edinburgh (70179),70179,S01008793,10361,82.26,79.58,89.78,1672,1964,1896,39,2832,6881,0.13,150,75.4,1,24.36,83.96,48.34,73.9
Lennoxtown Medical Practice - Lennoxtown (43261),43261,S01008160,3361,58.8,85.86,79.29,1610,2145,1569,3118,2460,3993,0.12,130,59.59,1,1.91,64.59,50.34,75.9
Lerwick Health Centre - Shetland (39091),39091,S01012395,8639,74.34,96.77,89.19,4117,4672,4032,3690,3317,6353,0.05,80,61.27,0,8.25,64.3,48.94,74.6
Leslie Medical Practice - Fife (21153),21153,S01009553,6483,67.34,78.78,80.78,1154,1421,1229,1538,822,6106,0.15,160,63.13,1,2.11,62.26,51.24,70.4
Leven Medical Practice - Edinburgh (70107),70107,S01008665,6652,69.24,89.45,85.07,3944,4528,4743,113,4770,6351,0.05,75,89.12,1,28.84,88.17,46.17,73.9
Levenside Medical Practice - Dumbarton (85066),85066,S01013195,8343,72.93,90.01,92.85,1961,2054,1721,1351,3642,6476,0.12,140,68.85,1,3.03,65.67,50.31,72.8
Levenwick Medical Practice - Shetland (39072),39072,S01012388,2735,71.39,94.61,95.33,5345,5638,5223,3469,6216,238,0.03,45,60.52,0,3.69,60.95,49.91,74.6
Levern Medical Group - Barrhead (87165),87165,S01008310,8319,52.41,59.1,81.98,2810,2967,2051,3286,4998,5523,0.09,140,65.72,1,1.69,65.8,51.15,73.6
Liberton Medical Group - Edinburgh (70376),70376,S01008577,7929,74.14,93.38,88.31,4094,5304,3098,6533,5881,5762,0.04,75,54.42,1,8.42,65.17,51.86,73.9
Linburn Road Health Centre - Dunfermline (20502),20502,S01009338,8868,54.29,84.7,83.49,1380,721,711,3768,993,5530,0.19,175,66.7,1,4,65.09,51.14,70.4
Lincluden Medical Centre - Uddingston (63813),63813,S01012808,8731,62.01,89.48,80.45,4774,4834,3943,4190,5703,5383,0.05,75,64.11,1,1.23,64.45,52.22,76.9
Linden Medical Practice - Broxburn (78113),78113,S01013459,6675,58.57,81.41,75.39,1946,2025,1498,3929,2476,6586,0.13,135,61.64,1,8.72,65.6,50.83,74.5
Links Medical Centre - Edinburgh (71398),71398,S01008792,6587,73.02,95.79,90.98,2908,2397,2734,502,3621,6841,0.11,110,79.13,1,18.93,77.7,49.96,73.9
Links Medical Practice - Aberdeen (30627),30627,S01006641,8981,81.21,87.46,95.36,3967,2852,3923,220,2997,6470,0.1,90,85.06,1,26.97,75.99,46.81,71.8
Linkwood Medical - Elgin (32707),32707,S01011093,12027,73.57,92.33,87.65,5670,5298,5323,5887,5913,492,0.04,55,65.64,0,2.29,63.07,50.99,75.3
Linlithgow Group Medical Practice - Linlithgow (78166),78166,S01013444,15521,83.43,87.09,93.79,2429,1850,2467,1907,4722,6910,0.13,100,57.66,1,6.14,62.8,50.85,74.5
LMG - Lanark (63921),63921,S01012630,12296,14.57,58.08,70.49,1667,1193,1917,2381,4862,6485,0.16,130,56.78,1,1.7,61.96,51.1,76.9
"Loanhead Medical Practice - Loanhead Centre, Loanhead (77286)",77286,S01010968,6077,40.47,71.13,81.11,3937,3264,3896,5055,2713,6585,0.08,85,58.14,1,3.36,64.64,51.97,77.4
Loch Lomond Surgery - Alexandria (85230),85230,S01013223,7783,56.63,89.09,87.61,1112,1221,849,2802,2497,6405,0.16,165,57.83,1,2.32,64.83,50.87,72.8
Loch Ness East And Strathnairn - Foyers (55747),55747,S01010665,1004,92.88,91.26,93.48,3520,4349,4711,3199,3315,45,0.06,70,61.16,0,2.94,60.36,48.11,78.6
Loch Ree Practice - Stranraer (18095),18095,S01007492,4849,55.08,82.15,75.3,2157,1294,2213,4530,2040,3862,0.16,145,56.87,1,0.88,59.89,50.81,68.3
Lochaline Medical Practice - Lochaline (55643),55643,S01010508,346,86.85,98.56,95.21,4880,5023,5436,3207,5880,8,0.04,60,58.53,0,3.24,57.8,48.84,78.6
Lochcarron Medical Partnership - Rosshire (55395),55395,S01010689,959,99.29,98.29,100,4642,4226,4936,5387,3931,92,0.06,60,49.31,0,3.3,54.74,49.22,78.6
Lochee Health Centre - Dundee (12831),12831,S01007853,3965,72.47,90.05,84.6,56,13,72,981,90,6858,0.37,235,62.67,1,4.55,67.92,48.78,71.7
Lochend Surgery - Glasgow (46471),46471,S01010114,2719,60.34,92.38,81.86,31,41,13,546,38,6494,0.33,290,66.53,1,7.85,69.77,52.52,69.8
"Lochgelly Medical Practice - Lochgelly, Fife (21469)",21469,S01009453,3409,50.41,91.27,75.16,1849,1455,1081,3993,2175,6643,0.15,160,62.91,1,1.27,63.24,52.27,70.4
Lochgilphead Medical Centre - Lochgilphead (84415),84415,S01007317,6672,62.3,96.13,80.65,2942,2901,2731,1343,3647,1324,0.09,85,65.03,0,4,62.54,50.06,75.8
Lochinch Practice - Stranraer (18057),18057,S01007492,2963,58.88,87.04,75.8,2157,1294,2213,4530,2040,3862,0.16,145,56.87,1,0.88,62.94,49.17,68.3
Lochmaben Medical Group - Lochmaben (18377),18377,S01007632,5760,60.75,92.07,81.99,3948,3732,3998,4544,3637,1781,0.07,80,54.63,0,2.49,56.98,50.57,68.3
Lochnaw Practice - Stranraer (18593),18593,S01007492,4486,58.09,86.56,83.38,2157,1294,2213,4530,2040,3862,0.16,145,56.87,1,0.88,57.82,51.78,68.3
Lochthorn Medical Centre - Dumfries (18288),18288,S01007622,3757,73.63,98.12,87.56,3413,3774,2152,3038,2689,4266,0.07,115,58.23,1,2.92,66.76,49.11,68.3
Lochview Medical Practice - Greenock (86360),86360,S01010886,10198,55.65,80.29,82.48,1331,872,1280,1743,2279,5980,0.18,165,71.19,1,2.01,65.31,50.75,68.2
Lockerbie Medical Practice - Lockerbie (18358),18358,S01007636,4578,28.19,85.13,74.73,2613,2998,2093,5000,3224,5817,0.09,120,57.16,1,1.28,60.62,50.44,68.3
Logan Practice - Wishaw (62933),62933,S01011401,9780,48.01,66,83.6,2364,2242,2251,4322,3098,6555,0.12,130,63.23,1,1.85,66.18,50.31,69.7
Lorn Medical Centre - Oban (84581),84581,S01007295,11182,73,88.73,86.56,559,656,170,1323,1498,6952,0.2,200,61.43,0,6.73,68.3,49.14,75.8
Lour Road Group Practice - Forfar (13284),13284,S01007258,6815,74.2,89.97,90.24,2440,2368,4001,2049,3677,6709,0.11,100,60.28,1,6.21,60.97,51.68,72.2
Ludovic Medical Practice - Johnstone (87292),87292,S01012046,7656,67.37,82.97,84.88,710,528,485,1883,1231,6711,0.21,200,65.54,1,2.48,67.79,51.67,77.1
Macduff Medical Practice - Banff (31437),31437,S01007032,12407,46.32,77.2,81.65,2321,1442,2590,3692,2642,6244,0.15,125,61.71,0,9.29,62.09,50.12,79.5
Macinnes Medical Centre - Newarthill (63546),63546,S01011453,8379,53.8,76.89,87.74,1827,2258,2224,1342,1995,4945,0.12,145,64.58,1,4.4,68.33,50.59,69.7
Mackenzie Medical Centre - Edinburgh (70381),70381,S01008681,8407,80.12,76.64,95.42,3464,4181,3635,148,1472,6207,0.06,115,89.83,1,30.18,85.87,52.92,73.9
Main Street Medical Centre - Glasgow (46184),46184,S01010043,7688,74.39,67.01,94.28,510,422,354,144,473,6386,0.23,215,74.7,1,19.22,73.95,49.12,69.8
Mallaig And Arisaig Medical Practice - Mallaig (56030),56030,S01010507,1792,78.37,89.02,92.55,4123,4876,3360,2614,3947,6196,0.04,85,62.93,0,2.85,64.01,49.83,78.6
Manse Road Medical Centre - Newmains (63890),63890,S01011417,4421,54.6,76.33,73.74,2800,2257,2229,2762,1878,5515,0.12,150,59.75,1,2.2,65.42,47.7,69.7
Marchmont Medical Practice - Edinburgh (70766),70766,S01008621,1840,85.92,92.26,83.67,6773,6940,6964,516,6933,6928,0.01,15,82.61,1,21.04,81.25,41.85,73.9
Markinch Medical Practice - Fife (21454),21454,S01009609,6012,70.47,83.92,91.49,4789.5,4476,4797,5401,4337,5254,0.05,70,61.06,1,1.23,62.33,50.3,70.4
Marnock Medical Group - Kilmarnock (80378),80378,S01007979,17358,61.1,89.48,87.25,3728,3303,2965,5680,4760,4254,0.08,90,63.64,1,2.65,63.96,50.89,73
Maryfield Medical Centre - Dundee (11931),11931,S01007733,6135,51.99,82.51,83.66,3042,3558,4832,3995,4535,6931,0.07,65,62.39,1,19.58,65.74,49.99,71.7
Maryhill Group Practice  incl. Rothes - Moray (32779),32779,S01011118,22437,57.56,76.43,80.48,4377,5774,5667,6208,6078,6677,0.03,50,59.2,1,6.43,63.52,51.1,75.3
Maryhill Red Practice - Glasgow (43311),43311,S01010360,5630,72.4,69.18,88.48,332,756,486,254,724,6088,0.19,205,65.35,1,17.11,70.07,48.1,69.8
"Mauve Practice, Drumhar Health Centre - Perth (13975)",13975,S01011937,3727,79.64,78.39,81.11,2336,2509,2032,444,1724,6483,0.11,135,72.83,1,18.14,67.37,49.75,75.3
Mavor Medical Practice - East Kilbride (63231),63231,S01012928,9025,66.23,92.28,86.96,4917,5297,4686,4546,4798,3153,0.04,60,61.49,1,3.58,65.62,51.32,76.9
Maybole Medical Practice - Maybole (80491),80491,S01012439,4038,77.99,91.14,94.28,1829,1830,1518,2971,3390,6449,0.13,105,54.27,1,2.77,60.4,51.88,71.9
McGlone Practice - Glasgow (46216),46216,S01010086,13317,53.19,91.87,89.2,507,484,84,838,759,3497,0.22,240,62.3,1,1.75,66.67,50.98,69.8
Meadowpark Surgery - Glasgow (46625),46625,S01010238,8083,63.15,83.17,79.22,2772,3783,2791,432,2016,6926,0.07,110,80.63,1,15.25,78.32,50.79,69.8
Meadows Medical Practice - Edinburgh (70451),70451,S01008666,5465,68.89,75.58,85.51,6341,6816,6921,143,6782,6917,0.01,20,90.96,1,35.41,85.32,53.28,73.9
Meadows Practice - Lochgelly (21384),21384,S01009453,5185,53.61,85.74,77.64,1849,1455,1081,3993,2175,6643,0.15,160,62.91,1,1.27,63.99,50.28,70.4
Mearns Medical Centre - Glasgow (49337),49337,S01008343,13943,76.39,95.86,86.32,6928,6753,5980,6795,6683,5535,0.01,50,58.65,1,9.55,60.52,50.96,73.6
Medwyn Medical Practice - Carnwath (63917),63917,S01012584,6074,57.13,78.6,80.95,3722,3816,3195,4071.5,3126,1302,0.07,90,64.27,0,1.22,66.97,49.14,76.9
Meeks Road Surgery - Falkirk (25281),25281,S01009138,10766,46.42,77.21,81.47,5224,4891,4795,5410,4639,5272,0.04,55,68.43,1,9.41,66.54,50.5,75.2
Merrylee Medical Centre - Glasgow (49248),49248,S01009955,5555,66.84,93.58,90.37,2309,2868,2434,1682,4170,6147,0.09,130,64.18,1,14.16,70.26,49.23,69.8
Merse Medical Practice - Chirnside (16066),16066,S01012320,6669,43.71,84.17,79.35,2748.5,3394,3324,2600,2206,6099,0.08,90,56.51,0,4.22,59.86,49.92,79.3
Methilhaven Surgery - Fife (21505),21505,S01009633,6052,52.02,70.85,67.78,87,321,355,1382,65,6260,0.24,230,58.89,1,2.51,62.72,50.5,70.4
Midlock Medical Centre - Glasgow (52005),52005,S01009863,8624,81.78,88.1,89.33,1446,973,1151,112,1548,6962,0.18,170,74.42,1,40.45,74.91,46.39,69.8
Mill Lane Surgery - Edinburgh (71364),71364,S01008788,5908,76.7,92.06,86.14,4826,5117,5092,91,1687,6859,0.04,65,83.2,1,20.72,77.54,49.88,73.9
Mill Practice - Dundee (11645),11645,S01007728,8535,73.79,96.42,89.58,727,852,1551,123,164,6972,0.19,165,77.01,1,26.91,66.6,50.08,71.7
Millhill Surgery - Dunfermline (20485),20485,S01009309,8628,57.54,76.28,87.59,3806,3393,4920,3007,5546,5971,0.08,70,74.03,1,5.99,66.55,49.73,70.4
Millig Practice - Helensburgh (85141),85141,S01007397,9422,73.88,93.13,91.62,3661,3361,4006,4336,4926,4795,0.08,85,57.33,1,5.3,61.14,52.5,75.8
Milton Surgery - Edinburgh (70427),70427,S01008712,7572,76.44,97.65,92.43,167,48,299,943,102,4235,0.32,220,54.72,1,14.17,62.92,50.45,73.9
Mintlaw Group Practice - Mintlaw (31649),31649,S01007059,8380,20.51,52.65,59.86,4067,3694,4062,4335,3906,3013,0.07,75,60.38,0,2.75,61.4,50.36,79.5
Mistylaw Medical Practice - Lochwinnoch (87432),87432,S01012019,4684,65.28,69.15,88.24,6009,5138,5158,4494,6085,3927,0.04,55,61.21,0,2.96,63.39,50.92,77.1
Monifieth Medical Practice - Monifeith (13571),13571,S01007150,10938,73,97.34,85.25,6393,5947,4791,6810,6088,5564,0.03,55,40.35,1,4,57.71,52.33,72.2
Moray Coast Medical Practice - Lossiemouth (32764),32764,S01011139,10167,65.1,95.92,85.2,6676,6903,6914,4845,4657,4471,0.01,25,82.74,1,1.95,61.08,51.96,75.3
Morgan Glen Surgery - Lanarkshire (63527),63527,S01012661,9759,56.84,71.23,77.33,4321,4541,3932,4252,3540,3298,0.05,75,68.01,1,1.76,63.79,51.65,76.9
Morningside Medical Practice - Edinburgh (70790),70790,S01008636,8913,67.83,89.13,91.46,6718,6677,6592,2037,6620,6601,0.02,35,69.74,1,14.4,68.65,51.68,73.9
Mossend Surgery - Bellshill (62011),62011,S01011522,6102,62.36,82.67,82.71,927,1042,522,2213,1424,6605,0.17,185,68.76,1,7.3,64.54,51.69,69.7
Mount Florida Medical Centre - Glasgow (49681),49681,S01009904,10000,79.66,86.72,93.37,3035,4329,2876,2218,5783,5529,0.06,110,76.05,1,15.43,74.37,51.61,69.8
Mount Pleasant Practice - Greenock (86181),86181,S01010888,6098,39.76,84.97,80.53,924,367,749,1201,1000,6517,0.23,170,69.43,1,2.6,64.69,51.03,68.2
Muiredge Surgery - Fife (20108),20108,S01009623,8022,54.04,92.78,79.79,992,1729.5,1419,2903,1829,3845,0.14,130,62.17,1,2.63,64.21,51.21,70.4
Muirhead Medical Centre - Muirhead (10002),10002,S01007129,8102,92.4,93.22,89.72,6793,6686,6742,6695,5966,708,0.02,30,60.11,0,3.87,62.7,50.54,72.2
Muirhouse Medical Group - Edinburgh (70662),70662,S01008931,18316,61.45,84.15,85.36,1267,1786,1791,313,487,5793,0.13,150,65.04,1,9.41,72.61,49.13,73.9
Mull & Iona Medical Group - Tobermory (84538),84538,S01007286,3486,77.44,94.61,91.08,4059,4377,4096,3763,5056,4185,0.05,70,60.76,0,3.77,60.64,51.55,75.8
Mull of Galloway Practice - Stranraer (18112),18112,S01007501,721,69.78,96.8,85.13,2826,2550,4207,3543,3545,317,0.1,100,56.08,0,1.91,54.79,48.82,68.3
Munlochy Surgery - Munlochy (55408),55408,S01010724,3420,76.76,84.17,92.74,4311,4372.5,4827,4837,4953,606,0.05,65,62.55,0,2.71,60.96,51.49,78.6
Murieston Medical Practice - Livingston (78344),78344,S01013274,6291,86.47,87.76,89.12,6015,5891,4493,5634,5261,4615,0.03,65,66.27,1,3.78,66.76,51.17,74.5
Murrayfield Medical Centre - Edinburgh (71025),71025,S01008880,7641,95.73,96.97,95.89,5259.5,5231,5394,6451,5961,5414,0.04,50,66.67,1,9.42,65.91,50.88,73.9
Murrayfield Medical Practice - Edinburgh (70501),70501,S01008876,7354,67.66,85.27,91.28,6442,6637,6273,6594,6424,5842,0.02,40,58.27,1,3.92,63.53,52.12,73.9
Nairn Healthcare Group - Nairn (55041),55041,S01010556,15501,75.05,91.61,90.94,1554,1642,1585,2901,1787,6499,0.14,135,53.64,1,3.29,60.51,50.67,78.6
Nalagatla Medical Practice - Stepps (60073),60073,S01011701,3890,63.21,69.11,81.22,5504,5479,4655,4804,5331,2793,0.03,65,64.03,1,5.02,65.94,52.24,69.7
Neilston Medical Practice - Neilston (87023),87023,S01008300,4101,77.59,91.47,87.91,2107,1914,2250,2350,4222,6502,0.13,130,61.59,1,1.54,63.76,52.21,73.6
Nethergate Medical Centre - Dundee (12281),12281,S01007691,7567,70.8,86.08,94.11,4777,4650,4349,183,2280,4854,0.05,75,95.03,1,30.23,75.55,49.82,71.7
Nethertown Surgery - Dunfermline (20451),20451,S01009312,11322,55.7,81.55,86.81,3632.5,4232.5,4112,2598,2988,6248,0.06,70,71.75,1,9.23,64.09,51.09,70.4
New Dyce Medical Practice - Aberdeen (30280),30280,S01006754,10025,47.47,80.16,78.06,6030,5626,5949,6104,4872,2101,0.03,40,55.29,1,3.22,61.68,50.28,71.8
New Park Medical Practice - Dunfermline (20466),20466,S01009325,12055,57.52,81.04,88.55,4529,5328,4014,6793,6263,1966,0.04,70,60.41,1,1.75,64.31,50.07,70.4
Newark Medical Practice - Port Glasgow (86321),86321,S01010911,3961,44.87,87.86,81.64,439,254,380,1225,409,6900,0.25,195,59.61,1,0.92,65.56,49.76,68.2
Newarthill Medical Practice - Lanarkshire (62115),62115,S01011459,3188,84.24,92.82,92.95,2482,3163,2356,2585,3744,5077,0.09,130,69.27,1,3.13,67.6,49.28,69.7
Newbattle Medical Practice - Midlothian (77106),77106,S01011031,18706,59.32,93.57,86.42,2520,2711,2392,2943,771,3587,0.1,120,61.95,1,0.68,65.56,51.54,77.4
Newburgh Surgery - Fife (21558),21558,S01009679,4037,75.47,89.68,84.53,2501,2570,3135,3531,2028,5977,0.1,95,60.47,0,2.78,60.37,50.9,70.4
Newburn Health Centre - Aberdeen (30078),30078,S01006586,20393,45.6,87.98,64.96,3878,4407,3686,286,2926,5174,0.05,90,81.41,1,24.83,79.01,48.78,71.8
Newbyres Medical Group - Gorebridge (77159),77159,S01011042,8274,56.42,86.95,84.96,3688,3781.5,3372,5475,3040,4927,0.07,70,70.2,1,1.59,64.79,50.37,77.4
Newcastleton Medical Practice - Newcastleton (16047),16047,S01012354,1579,89.28,99.02,97.58,3047,2972,3957,6087,2976,6354,0.09,100,54.83,0,1.04,57.31,48.96,79.3
Newhills Medical Practice - Glasgow (46451),46451,S01010114,9727,67.88,92.81,86.04,31,41,13,546,38,6494,0.33,290,66.53,1,7.85,69.33,51.16,69.8
Newland Medical Practice - Bathgate (78077),78077,S01013414,9221,73.48,86.06,82.83,2535,2547,1620,2588,2190,4977,0.11,125,56.25,1,10.48,67.48,50.24,74.5
Nicol Street Surgery - Fife (20950),20950,S01009480,6244,82.85,84.88,91.04,4595,4561,4422,5189,6062,6347,0.05,70,59.82,1,4.87,62.81,50.83,70.4
Niddrie Medical Practice - Edinburgh (70198),70198,S01008705,4233,59.67,79.35,83.09,795,1160,1307,1898,1113,6684,0.17,185,63.67,1,21.4,71.98,48.76,73.9
Nithsdale Merryvale Group Practice - Glasgow (49144),49144,S01009885,9727,77.51,87.81,90.24,2692,4121,3182,175,2969,6574,0.06,105,67.78,1,66.41,65.39,51.44,69.8
North Avenue Surgery - Cambuslang (60143),60143,S01012845,11666,44.69,61.43,80.86,3495.5,3087,2766,5853,5600,5929,0.09,120,61.92,1,4.38,67.22,50.21,76.9
North Berwick Group Practice - North Berwick (76137),76137,S01008273,9610,69.4,85.55,95.79,5422,5921,5941,5248,6458,6114,0.03,35,56.61,0,3.69,57.49,51.65,75.3
North Glen Medical Practice - Glenrothes (20611),20611,S01009600,8324,70.6,83.5,93.19,881,381,135,2537,2276,2372,0.23,235,59.32,1,3.15,64.03,50.44,70.4
